,first_accuracy,first_wait,delayed,cancelled
0,13.0,102.0,1,0
1,-190.0,244.0,0,0
2,,,0,0
3,872.0,696.0,0,0
4,237.0,0.0,0,0
5,,,0,0
6,,,0,0
7,,,0,0
8,,,0,0
9,,,0,0
10,,,0,0
11,-271.0,438.0,0,0
12,277.0,318.0,1,0
13,-65.0,86.0,1,0
14,,,0,0
15,87.0,0.0,0,0
16,,,0,0
17,,,0,0
18,-10.0,0.0,0,0
19,,,0,0
20,-21.0,1334.0,0,0
21,1405.0,76.0,0,0
22,,,1,0
23,56.0,291.0,0,0
24,36.0,362.0,0,0
25,-12.0,15.0,0,0
26,,,0,0
27,150.0,215.0,0,0
28,57.0,0.0,0,0
29,-132.0,0.0,0,0
30,,,0,0
31,97.0,0.0,0,0
32,-29.0,0.0,0,0
33,148.0,658.0,1,0
34,,,0,0
35,64.0,263.0,0,0
36,,,0,0
37,,,0,0
38,-132.0,0.0,0,0
39,,,0,0
40,439.0,188.0,0,0
41,-57.0,380.0,1,0
42,-92.0,475.0,0,0
43,-65.0,36.0,0,0
44,-80.0,249.0,0,0
45,-94.0,12.0,1,0
46,-173.0,57.0,1,0
47,-72.0,403.0,1,0
48,85.0,0.0,1,0
49,,,0,0
50,7.0,40.0,0,0
51,,,1,0
52,,,0,0
53,-54.0,58.0,0,0
54,,,0,0
55,,,0,0
56,70.0,134.0,0,0
57,-36.0,604.0,0,0
58,2682.0,3776.0,1,0
59,-43.0,59.0,1,0
60,112.0,0.0,0,0
61,141.0,1982.0,0,0
62,-143.0,643.0,0,0
63,77.0,259.0,0,0
64,64.0,0.0,1,0
65,-177.0,0.0,0,0
66,157.0,960.0,0,0
67,10.0,41.0,0,0
68,,,0,0
69,11258.0,1173.0,1,1
70,-12.0,0.0,1,0
71,,,0,0
72,-75.0,0.0,0,0
73,248.0,0.0,0,0
74,-13.0,0.0,0,0
75,,,0,0
76,-67.0,574.0,0,0
77,,,0,0
78,,,0,0
79,3540.0,4152.0,0,0
80,121.0,429.0,0,0
81,-147.0,82.0,0,0
82,,,0,0
83,,,0,0
84,-104.0,26.0,1,0
85,4510.0,1945.0,1,0
86,1465.0,0.0,1,0
87,,,0,0
88,8096.0,3520.0,1,0
89,-88.0,375.0,0,0
90,,,0,0
91,-195.0,219.0,0,0
92,,,0,0
93,,,0,0
94,-689.0,955.0,0,0
95,108.0,4016.0,0,1
96,,,0,0
97,,,0,0
98,2063.0,1020.0,0,0
99,27.0,0.0,0,1
100,-3.0,84.0,0,0
101,,,0,0
102,-417.0,21.0,0,0
103,4.0,252.0,0,0
104,-104.0,225.0,0,0
105,,,0,0
106,-34.0,108.0,0,0
107,,,0,0
108,418.0,311.0,0,0
109,,,0,0
110,19.0,418.0,0,0
111,84.0,54.0,1,0
112,,,0,0
113,-97.0,284.0,0,0
114,-69.0,697.0,0,0
115,70.0,47.0,0,0
116,129.0,53.0,0,0
117,552.0,440.0,0,0
118,22.0,0.0,0,0
119,-600.0,112.0,0,0
120,-59.0,1910.0,0,0
121,-7.0,429.0,1,0
122,,,0,0
123,377.0,1361.0,0,0
124,456.0,528.0,0,1
125,43.0,658.0,0,0
126,,,0,0
127,,,0,1
128,-241.0,0.0,0,0
129,,,0,0
130,-134.0,208.0,0,0
131,107.0,44.0,0,0
132,,,1,0
133,-170.0,152.0,0,0
134,-52.0,0.0,1,0
135,-75.0,123.0,0,0
136,4392.0,21782.0,0,0
137,-263.0,576.0,0,0
138,457.0,1060.0,0,0
139,,,0,0
140,422.0,84.0,0,0
141,2072.0,364.0,0,0
142,-43.0,1176.0,0,0
143,-503.0,0.0,0,0
144,-349.0,368.0,0,1
145,,,0,0
146,574.0,63.0,0,0
147,-37.0,200.0,0,0
148,,,0,0
149,674.0,0.0,0,0
150,,,0,0
151,141.0,880.0,1,0
152,300.0,0.0,0,0
153,,,1,0
154,26.0,58.0,0,0
155,,,0,0
156,,,0,0
157,161.0,0.0,0,0
158,2960.0,870.0,0,0
159,880.0,640.0,1,0
160,-233.0,38.0,0,0
161,175.0,0.0,0,0
162,45.0,0.0,0,0
163,,,0,0
164,-63.0,701.0,0,0
165,-34.0,90.0,0,0
166,-6.0,0.0,1,0
167,,,0,0
